Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	Defense	Speed	Damage	Effect	
Dimensional Rift	Arad	Dimensional Rift.PNG	Ability	Cube Distortion	0	-	-	R2	-	【Limit】 During Ally Phase, if there is an ally Arad squadron: Choose 1, and any affected squadrons cannot attack directly this turn: •Tag target squadrons. •Cleanse an Immobile Arad squadron then reposition it.	
First Awakening	Arad	First Awakening.PNG	Ability	Cube Skill	1	-	-	R2	-	【Limit】 Cleanse target ally Arad squadron with a status condition, then choose 1:  •Draw 2. •Spend your Extra Charge and charge [2].	
Second Awakening	Arad	Second Awakening.PNG	Ability	Cube Skill	1	-	-	R1	-	【Limit】 Inflict Immobile (2) to target active ally Arad squadron and recover 2 Arad squadrons.	
Cube Contract	Arad	Cube Contract.PNG	Augment	Energy Amplification	0	-	-	-	-	Choose 1 to Augment target Arad squadron: •"〖Reaper〗" •"〖R2 Limit Skill〗 When this card earns a combat kill: Draw 2, discard 1, then sacrifice this card's augment."	
Third Awakening	Arad	Third Awakening.PNG	Eternal Ability	Cube Skill	0	-	-	-	-	【Pre-Charge】 Place 1 Arad squadron from hand on the bottom of your deck, then draw 1. 【R1】 Inflict Immobile (1) to target ally Arad squadron; scry 1. 	
Black Maiden Alt 1	Arad	Black Maiden Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Grim Reaper Alt 1	Arad	Grim Reaper Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Inferno Alt 1	Arad	Inferno Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Marker - Explosive (Arad) (Renegade)	Arad	Explosive.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Renegade" leaves the field. 【Detonate】 Inflict Bolt (5) to all revealed squadrons in this line, or to a concealed squadron in this zone.	
Leviathan	Arad	Leviathan.PNG	Squadron	Arad Dragoon	3	25	25	4	12	【Passive】 Attack may not exceed 30. Gains permanent Attack (+5) when earning a combat kill.  【Action】 Up to 2 times: Self-inflict Immobile (+1) and permanent Attack (-5); inflict Bolt equal to the amount of attack lost to target enemy squadron.	
